usr_id,mentions,type
1323473078,16213404,MENTIONS
2579554963,95091601,MENTIONS
2579554963,17456542,MENTIONS
381922706,20559705,MENTIONS
426070710,16094885,MENTIONS
4899639072,25978296,MENTIONS
1155947208,16734909,MENTIONS
1155947208,1137661725040209921,MENTIONS
1008857228265193472,95091601,MENTIONS
941608664196046848,16213404,MENTIONS
579774943,16796812,MENTIONS
15672964,16213404,MENTIONS
15672964,16734909,MENTIONS
1033826336,16734909,MENTIONS
394529489,16213404,MENTIONS
1108104595,2542290469,MENTIONS
1330730270,1152315522,MENTIONS
1297604689,16213404,MENTIONS
1297604689,16734909,MENTIONS
556772027,16213404,MENTIONS
556772027,16734909,MENTIONS
362743043,60779696,MENTIONS
15510386,16213404,MENTIONS
2328139452,246186918,MENTIONS
67244474,3555381912,MENTIONS
25924468,16627712,MENTIONS
36883461,16213404,MENTIONS
56571249,16213404,MENTIONS
42177568,47874155,MENTIONS
1088307564,16734909,MENTIONS
1087695565,16213404,MENTIONS
78851923,16213404,MENTIONS
15608568,95091601,MENTIONS
15608568,16734909,MENTIONS
42177568,66917778,MENTIONS
4899639072,246058485,MENTIONS
4899639072,16734909,MENTIONS
4899639072,16213404,MENTIONS
426070710,16094885,MENTIONS
219089769,76842602,MENTIONS
219089769,16734909,MENTIONS
741933560118968321,16734909,MENTIONS
3305569202,16213404,MENTIONS
3305569202,16734909,MENTIONS
214770574,16734909,MENTIONS
1654861243,1654861243,MENTIONS
171834274,16213404,MENTIONS
60016017,309621851,MENTIONS
60016017,16213404,MENTIONS
60016017,16734909,MENTIONS
169840366,16213404,MENTIONS
1024196881365102593,16213404,MENTIONS
373149557,63025854,MENTIONS
373149557,246532728,MENTIONS
922941056,16094885,MENTIONS
3013314961,16213404,MENTIONS
1008857228265193472,183770461,MENTIONS
540744197,16734909,MENTIONS
814568231495077892,16734909,MENTIONS
85795383,2768501,MENTIONS
304856790,224592951,MENTIONS
304856790,16796812,MENTIONS
304856790,63942152,MENTIONS
304856790,47318173,MENTIONS
304856790,252833329,MENTIONS
304856790,20559705,MENTIONS
304856790,1550270612396212225,MENTIONS
304856790,49499855,MENTIONS
304856790,2757922069,MENTIONS
