usr_id,mentions
159743606,17682476
988518521758928896,11781162
988518521758928896,16734909
900303506606743552,43525891
29318136,284102172
2569854282,66917778
28690225,932911346
28690225,866909897048207360
28690225,60779696
2951027582,16094885
2556511814,68640609
2556511814,16734909
2556511814,485139839
117602839,66917778
117602839,16734909
388125509,3555381912
999227088681881602,762906414041837568
999227088681881602,16213404
875443196,None
2773012519,1009022579900702721
2773012519,1528202820335312897
2773012519,32201297
2378357270,877415741124825088
55113432,None
28690225,66917778
37635320,52320140
959272765772546049,16509444
771168108,2916395070
1368100356,16834659
32323120,16094885
226857183,None
49955723,3555381912
846935654583951364,None
731040612846182400,1113341312
731040612846182400,16734909
731040612846182400,118942188
55113432,None
404508332,465936656
842258560499109888,17831767
842258560499109888,16834659
29318136,None
243882040,2916395070
773706154501345280,23700113
773706154501345280,165660881
3218825124,31585344
3218825124,2429615682
3218825124,16734909
405997483,16094885
252866356,66917778
779278891638632448,2555478498
779278891638632448,16213404
313261835,1333360170
313261835,28739612
729104859991957505,80712889
3281176050,16734909
999227088681881602,21075591
999227088681881602,16734909
