usr_id,hashtags,type
3087496429,turnbull,HASHTAGS
3087496429,gianttanty,HASHTAGS
262409107,qanda,HASHTAGS
28690225,auspol,HASHTAGS
28690225,qanda,HASHTAGS
540494985,auspol,HASHTAGS
540494985,libspill,HASHTAGS
158899570,auspol,HASHTAGS
158899570,9news,HASHTAGS
249895981,auspol,HASHTAGS
2678614296,ulurustatement,HASHTAGS
158871917,qanda,HASHTAGS
3288075858,qanda,HASHTAGS
129154489,qanda,HASHTAGS
812138855008583680,qanda,HASHTAGS
812138855008583680,auspol,HASHTAGS
812138855008583680,libspill,HASHTAGS
2848215810,auspol,HASHTAGS
353508962,qanda,HASHTAGS
64645945,turnbull,HASHTAGS
64645945,qanda,HASHTAGS
467994710,rowdyones,HASHTAGS
2619185882,qanda,HASHTAGS
2619185882,auspol,HASHTAGS
343096504,stuntmo,HASHTAGS
17250722,qanda,HASHTAGS
103761767,auspol,HASHTAGS
388125509,qanda,HASHTAGS
3087496429,qanda,HASHTAGS
3087496429,liberalparty,HASHTAGS
619017465,auspol,HASHTAGS
2456550114,cantfacethemusic,HASHTAGS
2456550114,qanda,HASHTAGS
715626890,qanda,HASHTAGS
16240917,qanda,HASHTAGS
893825913019920384,africangangs,HASHTAGS
1100007859,9today,HASHTAGS
2812028293,qanda,HASHTAGS
460721800,qanda,HASHTAGS
729104859991957505,qanda,HASHTAGS
875443196,auspol,HASHTAGS
2777532764,qanda,HASHTAGS
2777532764,nbn,HASHTAGS
1368100356,qanda,HASHTAGS
159743606,qanda,HASHTAGS
1586888442,marriageequality,HASHTAGS
23865602,peoplepower,HASHTAGS
23865602,malcolmower,HASHTAGS
23865602,fairdinkumpower,HASHTAGS
923120359808704512,rnbreakfast,HASHTAGS
923120359808704512,qanda,HASHTAGS
1412036527,qanda,HASHTAGS
901385391638421504,qanda,HASHTAGS
23119369,qanda,HASHTAGS
908203511170531329,qanda,HASHTAGS
2685926647,qanda,HASHTAGS
99367063,usmidterms,HASHTAGS
99367063,usmidterm,HASHTAGS
99367063,uspoli,HASHTAGS
369158562,fuckoffmalcolm,HASHTAGS
1738433652,qanda,HASHTAGS
380911204,qanda,HASHTAGS
172081908,extinctionrebellion,HASHTAGS
172081908,climatestrike,HASHTAGS
172081908,auspol,HASHTAGS
172081908,qldpol,HASHTAGS
172081908,nswpol,HASHTAGS
172081908,springst,HASHTAGS
172081908,climateaction,HASHTAGS
172081908,thedrum,HASHTAGS
172081908,qanda,HASHTAGS
25498134,qanda,HASHTAGS
2283049465,qanda,HASHTAGS
1263921624,stuntmo,HASHTAGS
922361848703328257,qanda,HASHTAGS
922361848703328257,matteroffact,HASHTAGS
63941526,turnbull,HASHTAGS
63941526,qanda,HASHTAGS
1259161086,qanda,HASHTAGS
1113341312,insiders,HASHTAGS
1113341312,insidersreading,HASHTAGS
1113341312,auspol,HASHTAGS
13495832,auspol,HASHTAGS
309621851,malcolmturnbull,HASHTAGS
309621851,breakfastnews,HASHTAGS
309621851,mathiascormann,HASHTAGS
18753424,qanda,HASHTAGS
18753424,sun7,HASHTAGS
18753424,auspol,HASHTAGS
923120359808704512,qanda,HASHTAGS
923120359808704512,abc,HASHTAGS
377240272,climatechange,HASHTAGS
377240272,auspol,HASHTAGS
377240272,qldpol,HASHTAGS
377240272,nswpol,HASHTAGS
377240272,springst,HASHTAGS
377240272,wapol,HASHTAGS
377240272,stopadani,HASHTAGS
1285557776,qanda,HASHTAGS
309621851,9today,HASHTAGS
309621851,malcolmturnbull,HASHTAGS
309621851,mathiascormann,HASHTAGS
406804783,qanda,HASHTAGS
2906724325,qanda,HASHTAGS
770512297018007553,qanda,HASHTAGS
963149989449949184,ulurustatement,HASHTAGS
2589086480,fuckoffmalcolm,HASHTAGS
407293901,extinctionrebellion,HASHTAGS
407293901,climatestrike,HASHTAGS
407293901,auspol,HASHTAGS
407293901,qldpol,HASHTAGS
407293901,nswpol,HASHTAGS
407293901,springst,HASHTAGS
971712014589440001,qanda,HASHTAGS
971712014589440001,auspol,HASHTAGS
405997483,qanda,HASHTAGS
172081908,climateemergency,HASHTAGS
172081908,climatechange,HASHTAGS
172081908,stopadani,HASHTAGS
172081908,extinctionrebellion,HASHTAGS
172081908,climatestrike,HASHTAGS
172081908,thedrum,HASHTAGS
172081908,qanda,HASHTAGS
912342698,ulurustatement,HASHTAGS
1498326793,qanda,HASHTAGS
66917778,qanda,HASHTAGS
66917778,auspol,HASHTAGS
1223709926,qanda,HASHTAGS
1223709926,auspol,HASHTAGS
400495760,rupertmurdoch,HASHTAGS
400495760,qanda,HASHTAGS
400495760,malcomturnbull,HASHTAGS
2283278034,climateemergency,HASHTAGS
2283278034,climatechange,HASHTAGS
2283278034,stopadani,HASHTAGS
2283278034,extinctionrebellion,HASHTAGS
3141635426,qanda,HASHTAGS
2429615682,qanda,HASHTAGS
15248759,qanda,HASHTAGS
1849555482,qanda,HASHTAGS
405997483,marriageequality,HASHTAGS
2910955801,الكرك,HASHTAGS
2910955801,الرزاز,HASHTAGS
2910955801,felizjueves,HASHTAGS
2910955801,qanda,HASHTAGS
2910955801,8kasımdünyadelilergünü,HASHTAGS
2910955801,جمعية_نساء_ضد_العنف,HASHTAGS
2910955801,womenava,HASHTAGS
2910955801,خلود_خريس,HASHTAGS
991631387441512448,qanda,HASHTAGS
991631387441512448,sun7,HASHTAGS
991631387441512448,auspol,HASHTAGS
15248759,extinctionrebellion,HASHTAGS
15248759,climatestrike,HASHTAGS
15248759,auspol,HASHTAGS
15248759,qldpol,HASHTAGS
15248759,nswpol,HASHTAGS
15248759,springst,HASHTAGS
922361848703328257,qanda,HASHTAGS
922361848703328257,nbn,HASHTAGS
922361848703328257,qanda,HASHTAGS
922361848703328257,auspol,HASHTAGS
922361848703328257,fraudulent,HASHTAGS
67005265,auspol,HASHTAGS
