usr_id,hashtags
34616293,None
941931872,None
68640609,auspol
783585314652557312,None
404508332,None
255753616,auspol
779814741736730624,auspol
779814741736730624,qanda
3194289097,None
788532504626012160,qanda
788532504626012160,auspol
252420272,qanda
232710107,None
405997483,qanda
65109514,None
16094885,auspol
34616293,None
2816984354,qanda
2333162875,None
232710107,None
2855400744,None
2816984354,None
1943578718,None
1892979913,None
1474752048,evelynmovie
518096170,qanda
518096170,matteroffact
175946965,None
2500563942,None
3163038860,None
22593725,None
103761767,qanda
103761767,factcheck
79062928,None
103761767,qanda
103761767,factcheck
72183405,nbn
3038808990,qanda
916119991,turnbull
916119991,lnp
431102415,None
237612784,None
404508332,None
791122933754331136,None
1146341346,pjk
1100056406,qanda
1100056406,nbn
575295839,None
546765821,None
416057727,None
28690225,None
2199126007,None
2816984354,qanda
195635551,usmidterms
195635551,usmidterm
195635551,uspoli
55113432,None
335105584,None
1113117066,None
28690225,qanda
28690225,qanda
28690225,auspol
28690225,libspill
176695560,None
2816984354,None
28690225,qanda
728510492273074176,theirabclpbtqiambpvobcfkeajbpktj
983508625,None
28690225,None
103761767,qanda
103761767,factcheck
846935654583951364,None
842544334226386944,auspol
158871917,qanda
542367047,rowdyones
983508625,None
38606846,None
28690225,None
775465166,None
2456550114,None
28690225,qanda
28690225,None
99367063,None
23289604,None
28690225,None
744442340,qanda
28690225,qanda
2479088160,None
3166153645,None
28690225,None
1404087277,None
42769304,auspol
828518882,None
563699932,renewableenergy
563699932,desalination
563699932,auspol
563699932,qldpol
563699932,insiders
563699932,4corners
563699932,qanda
563699932,abc730
563699932,thedrum
563699932,matteroffactabc
563699932,nationalwrap
563699932,murraydarling
47353721,None
460721800,auspol
495650403,auspol
28690225,None
168295041,qanda
169804331,None
16834659,None
2516705267,destructionbydemonetisation
2516705267,demonetisationdisaster
2516705267,bjpkivotebandi
2516705267,demonetisation
2516705267,peoplesfavsarkar
2516705267,sarkardeathceremony
2516705267,bhaidooj
2516705267,kgftrailer
2516705267,batevcfc
2516705267,massshooting
2516705267,lavieenrose1stwin
2516705267,qanda
1368100356,auspol
1368100356,qanda
1368100356,midterms
117602839,None
2536846554,None
3368822652,None
518124725,qanda
3087496429,None
79062928,None
795050637775937536,None
1113341312,qanda
1113341312,insiders
1113341312,insidersreading
1113341312,auspol
3688042154,None
2374260762,None
79062928,None
875443196,None
2799319651,None
529694616,首都大qanda
2569854282,None
308359254,qanda
72183405,None
159743606,None
988518521758928896,None
900303506606743552,None
29318136,qanda
2569854282,None
28690225,qanda
2951027582,None
2556511814,None
117602839,climate
388125509,None
999227088681881602,ulurustatement
875443196,None
2773012519,None
2378357270,None
55113432,None
28690225,None
37635320,None
959272765772546049,None
771168108,None
1368100356,auspol
1368100356,qanda
32323120,None
226857183,None
49955723,auspol
49955723,qanda
846935654583951364,None
731040612846182400,None
55113432,None
404508332,None
842258560499109888,None
29318136,None
243882040,None
773706154501345280,auspol
3218825124,None
405997483,None
252866356,None
779278891638632448,None
313261835,None
729104859991957505,qanda
729104859991957505,liberalparty
3281176050,None
999227088681881602,None
910705292345622528,None
34616293,None
241662602,scumo
241662602,abbott
400369512,None
55113432,None
825517433859432448,None
116421464,None
23907461,auspol
23907461,qanda
224160730,None
400369512,None
262409107,qanda
1020090815601786880,None
3087496429,turnbull
3087496429,gianttanty
405997483,None
2951027582,None
576825236,None
262409107,qanda
812138855008583680,None
28690225,auspol
28690225,qanda
812138855008583680,None
185991141,None
3452661694,None
1559380766,None
540494985,auspol
540494985,libspill
343096504,None
405997483,None
404508332,None
158899570,auspol
158899570,9news
249895981,auspol
2678614296,ulurustatement
158871917,qanda
405997483,None
779278891638632448,None
812138855008583680,None
3288075858,qanda
4856510102,None
158871917,None
44340706,None
129154489,qanda
1115446855,None
203337685,None
34480767,None
400369512,None
812138855008583680,qanda
812138855008583680,auspol
812138855008583680,libspill
2295387722,None
1403494603,None
